"Player ID","Pick","Pos","Player","Team","Bid","Fantasy Team","Time (EST)"
"*031mb*",108,"SG","Tim Hardaway","DAL",1,"Artists of Life","Oct 17, 2021 11:24:04"
"*031lz*",109,"C","Steven Adams","MEM",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:24:53"
"*05qve*",110,"SF","Jae'Sean Tate","HOU",1,"Golden Goffers","Oct 17, 2021 11:25:33"
"*051ps*",111,"SG","Terance Mann","LAC",2,"Civezzano Maned Meerkats","Oct 17, 2021 11:26:13"
"*027p9*",112,"PG","Reggie Jackson","LAC",7,"Inglewood Lightnings","Oct 17, 2021 11:27:01"
"*04ewr*",113,"PF","Kyle Kuzma","WAS",4,"Steel Panthers","Oct 17, 2021 11:28:01"
"*03r7l*",114,"PF","Larry Nance","POR",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:29:07"
"*042ne*",115,"SG","Malik Beasley","MIN",1,"Follow Leite","Oct 17, 2021 11:29:54"
"*049ki*",116,"PF","Marvin Bagley","SAC",4,"Artists of Life","Oct 17, 2021 11:30:42"
"*05uiu*",117,"SF","Jalen Johnson","ATL",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:31:54"
"*051p3*",118,"PF","Darius Bazley","OKC",5,"Golden Goffers","Oct 17, 2021 11:32:29"
"*03al0*",119,"PF","Aaron Gordon","DEN",1,"MISSION #1","Oct 17, 2021 11:33:00"
"*05qt0*",120,"SF","Saddiq Bey","DET",2,"Civezzano Maned Meerkats","Oct 17, 2021 11:33:28"
"*051pi*",121,"PF","Daniel Gafford","WAS",2,"Steel Panthers","Oct 17, 2021 11:34:06"
"*02nf9*",122,"C","Andre Drummond","PHI",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:34:37"
"*031m4*",123,"PG","Dennis Schroder","BOS",2,"Borgo Ciodo Hammers","Oct 17, 2021 11:35:23"
"*031lp*",124,"SG","Victor Oladipo","MIA",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:36:05"
"*05uig*",125,"SG","Josh Giddey","OKC",1,"MISSION #1","Oct 17, 2021 11:36:36"
"*051op*",126,"PF","Rui Hachimura","WAS",1,"Inglewood Lightnings","Oct 17, 2021 11:37:09"
"*051p8*",127,"SG","Jordan Poole","GS",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:37:37"
"*02ng4*",128,"SG","Will Barton","DEN",1,"Follow Leite","Oct 17, 2021 11:38:09"
"*027ou*",129,"SG","Klay Thompson","GS",6,"Borgo Ciodo Hammers","Oct 17, 2021 11:38:42"
"*03al1*",130,"PG","Marcus Smart","BOS",1,"Follow Leite","Oct 17, 2021 11:39:12"
"*03e6z*",131,"SG","Joe Harris","BKN",1,"Follow Leite","Oct 17, 2021 11:39:44"
"*05uie*",132,"SF","Scottie Barnes","TOR",1,"Follow Leite","Oct 17, 2021 11:40:09"
